signature,n,elements
ehnorssu,2,unhorses|onrushes
deooprst,2,doorstep|torpedos
efilrt,2,filter|trifle
abdelm,4,lambed|ambled|bedlam|blamed
gghiins,2,higgins|sighing
adgginr,2,niggard|grading
ehors,3,shore|heros|horse
adelst,5,lasted|deltas|staled|salted|slated
eisst,2,sites|sties
abesu,2,abuse|beaus
eins,2,sine|ines
aelmr,2,lamer|realm
gimnssu,2,musings|mussing
aegps,2,gapes|pages
aeegillrs,2,galleries|allergies
giinnns,2,sinning|innings
aenr,4,rena|near|erna|earn
aegmoprrrs,2,reprograms|programers
gstu,3,guts|tugs|gust
hops,3,hops|shop|posh
aeehsv,2,heaves|sheave
ikls,2,ilks|silk
acnorst,2,cartons|cantors
ceerssu,2,rescues|secures
cdeginnos,2,consigned|seconding
efils,2,files|flies
eortu,2,route|outer
aenv,4,vane|nave|neva|evan
bglo,2,glob|blog
bddeir,2,bidder|birded
eiilnoss,3,elisions|lionises|oiliness
cdeersu,4,seducer|reduces|rescued|secured
hosw,2,hows|show
agiinrs,3,airings|raising|arising
ilsst,3,slits|lists|silts
ceeeimnrstt,2,centimeters|centimetres
adelopr,2,leopard|paroled
aghs,3,gash|hags|shag
adhry,2,hydra|hardy
cdeinorstu,2,introduces|reductions
adekst,3,skated|tasked|staked
girst,3,girts|grits|grist
adrsy,2,drays|yards
belst,2,belts|blest
eorv,2,over|rove
aelrsv,3,ravels|slaver|salver
eeilnrsst,2,reenlists|listeners
achmos,2,mochas|mohacs
acelmr,2,calmer|marcel
aerrs,3,serra|rares|rears
ccimos,2,comics|cosmic
ggikno,2,ginkgo|gingko
bbbgilno,2,blobbing|bobbling
iort,3,tiro|riot|trio
aceginrst,2,caterings|recasting
aeeimnnorstu,2,enumerations|mountaineers
aabmnst,2,bantams|batsman
emprs,2,perms|sperm
celosst,2,closets|closest
aekl,3,leak|kale|lake
ehirs,4,hires|heirs|shire|sheri
efglors,2,folgers|golfers
airstt,3,artist|strait|traits
eemt,3,mete|meet|teem
aestv,2,vesta|stave
dehirsv,2,shrived|dervish
dehor,3,rhode|herod|horde
aelpst,6,pastel|plates|pleats|staple|petals|palest
ghiintt,2,hitting|tithing
admnort,2,dormant|mordant
abeirrz,2,brazier|bizarre
arst,5,rats|tars|tsar|star|arts
aisv,3,visa|avis|siva
abg,2,gab|bag
eeiinnst,2,einstein|nineties
aeeilmnnst,2,lineaments|alinements
abdelmr,2,rambled|marbled
adeemnr,2,meander|renamed
einrssu,2,insures|sunrise
abbeist,2,babiest|tabbies
aept,3,peat|pate|tape
eorsv,3,servo|roves|overs
ikss,2,skis|kiss
einort,2,tonier|orient
aceeps,2,escape|peaces
egissttu,2,gutsiest|gustiest
eeiillmmrt,2,millimetre|millimeter
adeeprv,2,pervade|deprave
amor,2,roam|omar
deilw,3,wilde|wiled|wield
abdeo,2,abode|adobe
kloootu,2,lookout|outlook
astv,2,vast|vats
deeps,2,speed|deeps
eilt,2,lite|tile
blru,2,burl|blur
eforsst,2,forests|fosters
aainprsst,2,aspirants|partisans
deginnr,2,rending|grinned
eelnss,2,lessen|lenses
elmost,2,molest|motels
aceilmsx,2,climaxes|exclaims
iloss,3,silos|soils|solis
bdegu,2,budge|debug
aeinorst,2,notaries|notarise
adeilsttu,2,altitudes|latitudes
cdekost,2,stocked|dockets
acdeiiprt,2,patricide|pediatric
dehiss,2,dishes|hissed
apps,2,paps|apps
adehps,2,shaped|phased
belrsu,2,elbrus|rubles
eilsv,4,elvis|veils|evils|lives
eenrst,5,enters|sterne|resent|tenser|ernest
eeps,2,pees|seep
eeirrt,2,terrie|retire
efinr,2,finer|infer
aegmoprrr,2,programer|reprogram
eiln,4,neil|nile|lien|line
lsstu,2,sluts|lusts
abers,5,bares|saber|baser|bears|sabre
acks,2,sack|cask
adehrt,3,thread|hatred|dearth
admnos,2,damson|nomads
eghilrst,2,slighter|lighters
adghins,2,dashing|shading
aeflrsu,2,refusal|earfuls
bdelosu,2,bloused|doubles
ceefprt,2,perfect|prefect
deirsv,2,drives|divers
eel,2,lee|eel
eemry,2,meyer|emery
deenst,2,tensed|nested
deeinpr,2,dnieper|ripened
bnory,3,byron|bryon|robyn
aelm,5,male|elam|meal|lame|elma
abdeinr,3,brandie|brained|bandier
eirsw,3,wires|weirs|wiser
adm,3,amd|mad|dam
aadenn,2,andean|deanna
acehms,2,schema|sachem
ginr,2,grin|ring
abenr,2,arneb|abner
aamss,2,assam|amass
aeilnsst,2,saltines|salients
aghorstw,2,hogwarts|warthogs
egls,2,legs|gels
acmors,3,macros|marcos|caroms
eegilnst,3,steeling|sleeting|gentiles
deiopsst,2,deposits|topsides
aghinrs,2,sharing|garnish
abst,4,bast|stab|bats|tabs
eipr,2,pier|ripe
giillnt,2,lilting|tilling
bdeelrt,2,trebled|delbert
ceips,2,spice|epics
aacimnor,2,macaroni|marciano
deor,4,redo|doer|oder|rode
amsw,2,maws|swam
mnoo,2,mono|moon
iklns,3,links|kilns|slink
gstuy,2,gusty|gutsy
eefl,2,feel|flee
acdir,2,dirac|acrid
beeorssv,2,obverses|observes
deilt,2,tilde|tiled
adeilmss,2,misdeals|misleads
cehor,4,chore|roche|ocher|ochre
aeginos,2,agonise|agonies
eeglnst,2,gentles|stengel
eintu,2,unite|untie
aehrty,2,hearty|earthy
aeghnopst,2,heptagons|pathogens
dgir,2,grid|gird
deisv,2,vised|dives
acgillnops,2,scalloping|collapsing
aegillps,2,spillage|pillages
ailmss,2,missal|islams
abdeilp,2,bipedal|piebald
aeegmr,2,meager|meagre
aces,2,aces|case
adiil,2,lidia|iliad
ggiinns,2,singing|signing
belmrstu,3,tumbrels|stumbler|tumblers
aaffir,2,affair|raffia
aors,3,oars|rosa|soar
eelprsu,2,repulse|slurpee
ehins,2,shine|hines
aefsst,2,safest|feasts
denorsw,2,downers|wonders
ahs,2,ash|has
aesy,3,easy|yeas|ayes
eersst,4,serest|esters|steers|resets
beikrsst,2,briskets|briskest
adnor,5,drano|radon|norad|adorn|ronda
adeelpry,2,replayed|parleyed
eemort,2,meteor|remote
aimprt,2,impart|armpit
arw,2,raw|war
ailprs,2,aprils|spiral
amoru,2,mauro|amour
egilmmn,2,memling|lemming
aaln,3,lana|alan|anal
ahlt,2,lath|halt
ceenorsv,2,conserve|converse
aarstt,2,tatars|strata
deggiln,2,gelding|niggled
ceeiprsst,2,tricepses|precisest
egilmnooss,2,gloominess|neologisms
acdegiimnt,2,decimating|medicating
acinoss,3,cassino|casinos|caisson
aceens,2,encase|seneca
anpss,2,snaps|spans
dmoos,3,moods|sodom|dooms
agrsu,2,argus|sugar
eiinnstt,2,tientsin|tinniest
abelstt,2,tablets|battles
ailnrsu,2,insular|urinals
aeeginnrt,2,tangerine|argentine
ilps,3,slip|lisp|lips
einors,2,nosier|senior
einpss,2,spines|snipes
acginr,3,caring|racing|arcing
ghirt,2,right|girth
aorst,5,roast|astor|sorta|sarto|taros
adeim,2,aimed|media
hoos,2,soho|shoo
deemrstu,2,mustered|demurest
deinrssu,2,insureds|sundries
aginorsst,2,organists|assorting
aelz,2,zeal|laze
deilors,3,deloris|soldier|solider
aegilnsv,2,leavings|svengali
ehinrss,2,shiners|shrines
aghinprs,2,sharping|phrasing
gipr,2,grip|prig
ehlorsst,2,holsters|hostlers
agilnps,3,palings|lapsing|sapling
eorsst,2,stores|sorest
aegmnost,3,megatons|montages|magnetos
adens,6,snead|deans|andes|danes|sedan|sedna
aegimnst,2,mangiest|steaming
aaegssu,2,sausage|assuage
adeeggrst,2,raggedest|staggered
ahlorw,2,harlow|warhol
aerss,2,arses|sears
aiprs,3,parsi|pairs|paris
eikrss,2,skiers|kisser
aegikln,2,linkage|leaking
deeelst,3,steeled|deletes|sleeted
egl,2,leg|gel
ceerst,2,secret|erects
deit,4,diet|tied|edit|tide
eprsu,2,super|purse
ceoprss,2,corpses|process
aesst,5,seats|sates|easts|tessa|asset
hortw,3,worth|wroth|throw
adehln,2,handle|handel
deinrs,3,snider|diners|rinsed
loopss,2,spools|sloops
enst,4,sent|nets|nest|tens
cdeeirs,2,deicers|decries
adinor,3,inroad|dorian|ordain
cefirty,2,rectify|certify
aet,4,tea|eta|ate|eat
eellrs,2,resell|seller
ghilopsstt,2,stoplights|spotlights
aeiprrs,4,rapiers|repairs|raspier|parries
deeimnors,2,domineers|modernise
eefls,2,flees|feels
efirr,2,rifer|frier
aelnv,2,venal|navel
eeginrst,3,gentries|steering|integers
cdeemoprss,2,compressed|decompress
denrs,2,nerds|rends
akprs,2,parks|spark
achiinrst,2,christian|christina
aceilrst,2,recitals|articles
bdu,2,bud|dub
aimnnos,2,minoans|mansion
aekst,6,stake|keats|takes|steak|skate|teaks
cehiknst,2,kitchens|thickens
adeinrsst,2,streisand|tardiness
ailr,4,liar|lira|lair|rail
aeimorstz,2,amortizes|atomizers
eginrstw,2,wresting|strewing
eeglnorstt,2,longstreet|lorgnettes
aabls,2,balsa|basal
eeilrsv,3,relives|reviles|servile
acdegln,2,clanged|glanced
aky,2,kay|yak
eehrst,3,esther|threes|hester
adeefr,2,feared|deafer
aelmp,2,maple|ample
ginnoops,2,spooning|snooping
deloop,3,looped|pooled|poodle
cenor,2,creon|crone
adems,2,edams|dames
eisstu,2,suites|tissue
eehrsw,2,wheres|hewers
aeimnoprttu,2,permutation|importunate
aceinsstt,3,scantiest|cattiness|tacitness
ghostu,2,sought|toughs
aaamrs,2,samara|asmara
aeeltz,2,teazel|teazle
cdeiinrstt,2,interdicts|distincter
agginz,2,gazing|niggaz
ceipss,2,pisces|spices
eorssty,2,oysters|storeys
ilnstu,2,insult|sunlit
eilv,5,evil|veil|live|vile|levi
elorsv,2,solver|lovers
eimrs,4,rimes|mires|emirs|miser
ehilrt,2,lither|hitler
acehir,2,archie|achier
accehimsst,2,catechisms|schematics
einops,2,ponies|opines
aceehrt,3,hectare|teacher|cheater
eghiinst,2,nighties|heisting
deginor,4,negroid|redoing|ignored|eroding
cikls,2,slick|licks
is,2,is|si
aegrz,2,gazer|graze
acder,5,cared|arced|cadre|cedar|raced
abiklmns,2,lambskin|lambkins
cgiknor,2,rocking|corking
amrs,3,rams|mars|arms
cdeeiinrst,2,iridescent|indiscreet
aceilpr,2,replica|caliper
aghilnss,2,hassling|slashing
ehrssu,2,ushers|rushes
iln,2,nil|lin
deirv,3,diver|drive|verdi
pssu,2,sups|puss
aent,4,ante|nate|etna|neat
aeimnty,2,anytime|amenity
acdep,2,caped|paced
aeehirstt,2,earthiest|heartiest
eehrt,3,there|ether|three
efhilms,2,himself|flemish
cloo,2,loco|cool
aaeinoprrt,2,reparation|praetorian
aimn,2,mani|main
acellry,2,clearly|carlyle
ghinnorsu,2,onrushing|unhorsing
aeilss,2,lassie|aisles
addei,2,aided|addie
inprtu,2,turnip|turpin
deeirs,3,eiders|desire|reside
eimt,4,mite|emit|time|item
rsstu,2,rusts|truss
acdenr,2,dancer|craned
deinnst,2,indents|intends
beorst,3,sorbet|osbert|strobe
aeimnrsu,3,suriname|aneurism|sumerian
ort,2,rot|tor
degil,2,glide|gelid
aehmss,2,mashes|shames
eisv,3,ives|vise|vies
aemns,5,names|manes|mensa|manse|means
aensst,2,assent|sanest
aeglr,6,regal|alger|large|elgar|lager|glare
beirsu,4,bruise|rubies|buries|busier
deeirsv,3,revised|derives|diverse
einsst,2,insets|steins
ostu,2,outs|oust
cffsu,2,cuffs|scuff
eegnr,2,green|genre
alms,3,lams|alms|slam
adip,2,ipad|paid
adeelrs,2,leaders|dealers
acnot,2,acton|canto
ackl,2,calk|lack
bdegsu,2,budges|debugs
eeelsv,2,sleeve|levees
aegilnrst,3,gnarliest|integrals|triangles
eillnst,2,lentils|lintels
aceilst,2,laciest|elastic
cciirt,2,citric|critic
cginorsu,3,sourcing|coursing|scouring
adeils,3,ideals|sailed|ladies
einrt,4,inert|niter|nitre|inter
nopsstu,2,sunspot|unstops
abd,2,dab|bad
eimorst,2,moister|mortise
deopsu,2,souped|pseudo
aeghnopt,2,pathogen|heptagon
aersv,3,saver|avers|raves
aegmnr,2,german|manger
anoprt,2,tarpon|patron
adehs,4,heads|ashed|hades|shade
eh,2,eh|he
deprsu,2,prudes|pursed
cdeeirttu,2,certitude|rectitude
acilopt,3,optical|topical|capitol
cdehko,2,choked|hocked
acinosss,2,caissons|cassinos
ghnostu,3,gunshot|shotgun|noughts
ginss,2,signs|sings
abdeirs,3,braised|sidebar|seabird
eforst,4,softer|foster|fortes|forest
aeeginnrtv,2,enervating|venerating
egoprrsu,2,regroups|groupers
acdeehrtt,2,ratcheted|chattered
egnors,2,goners|negros
denos,2,nodes|nosed
glos,2,logs|slog
lops,3,slop|lops|pols
aehrsst,2,rashest|trashes
aprs,4,rasp|raps|spar|pars
deirst,3,direst|stride|driest
almps,3,lamps|psalm|palms
aegimrt,3,maigret|ragtime|migrate
ceghinort,2,hectoring|creighton
ghost,2,goths|ghost
agot,2,toga|goat
almsu,2,mauls|alums
deeghin,2,neighed|heeding
adeprt,4,prated|depart|petard|parted
acdeinoort,2,decoration|coordinate
aelrtt,2,latter|rattle
aceelprs,2,replaces|percales
aekmr,2,maker|merak
eefilr,3,liefer|refile|relief
einps,4,penis|snipe|pines|spine
ceops,4,copse|pecos|copes|scope
elov,2,love|vole
ghos,2,gosh|hogs
bbinor,2,ribbon|robbin
abinot,2,bonita|obtain
aeeinrt,2,retinae|trainee
giinnprst,2,sprinting|printings
aacinr,2,carina|crania
aehs,2,shea|ashe
ginprsuu,2,usurping|pursuing
deimnoot,2,motioned|demotion
efrs,2,serf|refs
bbginos,2,sobbing|gibbons
alos,2,also|laos
abdegirs,2,brigades|abridges
acert,6,cater|recta|caret|trace|crate|react
abenrst,2,barents|banters
eeinrsw,2,newsier|wieners
it,2,it|ti
aelmrt,2,martel|armlet
allot,2,allot|atoll
egglmsu,2,smuggle|muggles
aefinr,2,fainer|efrain
deinos,2,noised|edison
emost,3,smote|tomes|motes
eirw,2,weir|wire
aahks,2,shaka|sakha
cceennort,2,reconnect|connecter
adeeilmnrst,2,streamlined|derailments
enors,2,norse|snore
aceeinnrt,2,ancienter|nectarine
adior,2,radio|dario
oott,3,toto|otto|toot
abeertt,2,beretta|abetter
eistx,2,exits|exist
acelov,2,coeval|alcove
deeiprss,2,presides|disperse
closw,2,cowls|scowl
aceilnosst,2,sectionals|coastlines
ghlosu,2,ghouls|slough
acdelps,2,clasped|scalped
aelrs,3,earls|reals|laser
eeiinoprtt,2,petitioner|repetition
aeln,4,lena|lean|neal|lane
acilmnopt,2,compliant|complaint
beegrr,2,gerber|berger
adert,4,tared|tread|rated|trade
eemst,3,metes|teems|meets
eginntt,2,netting|tenting
ceors,2,cores|score
adeilmst,2,misdealt|medalist
aeklnr,2,rankle|lanker
aeirvw,2,wavier|waiver
aefnsst,2,fastens|fatness
ghint,2,night|thing
enrst,4,ernst|stern|rents|terns
amp,3,pam|map|amp
aaeiprst,2,parasite|aspirate
dhnosu,2,hudson|hounds
abdlry,2,drably|bradly
cdeenors,2,encoders|censored
gnorw,2,wrong|grown
eeginrv,2,veering|reeving
hitw,2,whit|with
ceeilnost,2,elections|selection
eenss,2,sense|essen
bemoss,2,besoms|emboss
ahms,3,mash|hams|sham
deeprss,2,pressed|depress
deiorrw,3,rowdier|wordier|worried
apss,4,asps|spas|pass|saps
aegnors,2,oranges|onsager
aeglrs,4,lagers|glaser|larges|glares
enoz,2,zone|zeno
aacdeemrt,2,demarcate|macerated
aeginnr,3,earning|nearing|grannie
aehrsw,2,hawser|washer
dggiiln,2,gliding|gilding
aprsw,2,wraps|warps
aegllry,4,regally|allergy|largely|gallery
aflo,3,olaf|loaf|foal
loops,4,sloop|loops|spool|pools
acdnor,3,dacron|conrad|candor
aeehilrstt,2,earthliest|stealthier
aerst,6,tears|taser|aster|tares|stare|rates
epst,3,pest|pets|step
aceeilnrst,2,centralise|interlaces
art,3,tar|rat|art
eorssu,2,serous|rouses
aagr,3,raga|agra|agar
acdeilt,2,dialect|citadel
aehlrt,2,lather|halter
aeirt,2,irate|artie
aknsy,2,snaky|yanks
adeemnor,2,demeanor|enamored
aceiinottx,2,excitation|intoxicate
eiprsst,5,spriest|persist|stripes|priests|sprites
adeenrstu,2,sauntered|denatures
eekps,2,keeps|peeks
degiinrs,3,desiring|residing|ringside
abcel,2,cable|caleb
aeiprst,4,pirates|pastier|parties|traipse
bhos,2,hobs|bosh
adeers,2,erased|seared
deirr,3,rider|drier|direr
abby,2,abby|baby
aelnps,3,naples|panels|planes
acelns,2,cleans|lances
aeghinrs,2,hearings|shearing
ant,3,ant|tan|nat
adeilm,3,imelda|mailed|medial
bdeit,2,debit|bidet
cehops,2,cheops|epochs
deeilnst,3,listened|tinseled|enlisted
deefilr,2,refiled|fielder
alop,2,alpo|opal
loost,3,stool|tools|loots
efirrs,2,friers|ferris
blos,2,lobs|slob
aadeiilnnost,2,nationalised|desalination
elors,2,loser|roles
aeglns,3,gleans|angels|angles
abelst,4,ablest|tables|bleats|stable
cekorst,2,restock|rockets
ailns,3,snail|slain|nails
aeilrst,3,retails|saltier|realist
allosww,2,wallows|swallow
cdeenortu,2,countered|recounted
bhorst,2,broths|throbs
aegrrt,3,grater|garter|garret
befirs,3,fibres|fibers|briefs
ceepstx,2,excepts|expects
egginrstu,2,grungiest|gesturing
aeijnn,2,janine|jannie
cehillrs,2,schiller|chillers
adeepprr,2,prepared|dapperer
aeegnrsv,2,engraves|avengers
einprrt,2,reprint|printer
aemstt,2,mattes|tamest
deillt,2,tilled|lilted
arstt,2,tarts|start
aacellmr,2,marcella|carmella
aceinooprrt,2,procreation|incorporate
eeenprst,3,petersen|preteens|pretense
abcrs,2,carbs|crabs
ahsw,3,shaw|wash|haws
cehiknt,2,thicken|kitchen
ainprstu,2,rasputin|puritans
aeegr,2,eager|agree
deeepr,2,peered|deeper
aaeemnt,3,enemata|manatee|emanate
deeinrsst,3,dissenter|residents|tiredness
eggilns,3,niggles|negligs|leggins
dorwy,3,rowdy|wordy|dowry
eeggir,2,geiger|reggie
deim,2,diem|dime
behlssu,2,blushes|bushels
acginrt,3,carting|tracing|crating
fgilnow,3,wolfing|fowling|flowing
dggilno,2,lodging|golding
eelssv,2,vessel|selves
abehrt,3,breath|bertha|bather
eggiln,3,niggle|leggin|neglig
adeilms,2,mislead|misdeal
agiimnorst,2,amortising|migrations
aachint,2,acanthi|ithacan
aemr,3,erma|mare|ream
adeinnoott,2,detonation|denotation
adenrw,4,andrew|wander|warden|warned
ghinoost,2,shooting|soothing
aeilnrst,2,entrails|latrines
aehprss,2,phrases|seraphs
deggilns,2,sledging|geldings
deilv,2,lived|devil
eellprs,2,respell|speller
ahlsu,3,hauls|shula|hulas
ceehlprsu,2,sepulchre|sepulcher
ddeenu,2,denude|endued
aaadmrs,2,madrasa|armadas
acds,2,cads|scad
aeelps,3,asleep|please|elapse
aaefinsst,2,fantasise|fantasies
ilopst,3,pistol|pilots|spoilt
inooprst,2,positron|portions
cddelos,2,scolded|coddles
amnopst,2,tampons|postman
aekqsu,2,quakes|squeak
acdeelr,2,cleared|declare
accefiiinorstt,2,rectifications|certifications
efirst,4,sifter|strife|rifest|refits
aemrst,3,stream|tamers|master
hos,2,hos|ohs
aally,2,layla|allay
aaelnprt,3,prenatal|paternal|parental
ah,2,ah|ha
degilnostu,2,ungodliest|longitudes
aemnor,2,enamor|monera
acers,5,acres|races|cesar|cares|scare
cdeiorsv,2,divorces|discover
adeemnoru,2,enamoured|demeanour
apsty,2,patsy|pasty
eeiimprssv,2,impressive|permissive
acinnost,2,contains|sanction
ersstw,2,strews|wrests
delop,2,loped|poled
eeginss,2,genesis|seeings
ceefiirst,2,rectifies|certifies
inptu,2,putin|input
elmnos,3,melons|solemn|lemons
aalv,2,lava|alva
gimnpsu,2,spuming|impugns
lstu,2,slut|lust
acdehnst,2,stanched|snatched
acddeeimt,2,medicated|decimated
abgrs,3,garbs|grabs|brags
cdhors,2,chords|schrod
deno,3,deon|done|node
beilrsst,2,bristles|blisters
aims,2,aims|siam
addeeilr,2,deadlier|derailed
aaclrvy,2,calvary|cavalry
abeerst,3,beaters|rebates|berates
eeeprrsv,2,perverse|preserve
aelpr,2,paler|pearl
opst,6,tops|pots|post|stop|spot|opts
adnrtu,2,tundra|durant
aeginrst,6,rangiest|gantries|tangiers|ingrates|tasering|angriest
gmsu,3,gums|smug|mugs
emors,3,romes|morse|mores
aaclrs,2,rascal|scalar
begins,3,beings|binges|begins
agimnrst,2,migrants|smarting
bersu,2,rebus|rubes
deeimnorss,2,sermonised|modernises
adeis,4,aides|aside|ideas|sadie
aehrs,5,rheas|hares|shear|share|hears
ceeenrrt,2,recenter|terrence
aimosst,2,maoists|taoisms
acerrt,3,carter|tracer|crater
aailmrt,2,martial|marital
eiiilllmrt,2,millilitre|milliliter
aenrrt,3,errant|ranter|terran
adeelpr,2,pleader|pearled
aegilnrt,5,triangle|alerting|relating|integral|altering
aceps,3,paces|capes|space
cehos,2,chose|echos
eflorw,2,fowler|flower
deeeloprsv,2,developers|redevelops
ahlls,2,shall|halls
deeiprs,2,preside|perseid
adeelp,2,pealed|leaped
aeelrs,3,reales|resale|sealer
abelrrw,2,brawler|warbler
aeilnssst,2,saltiness|stainless
ceerrsu,2,rescuer|securer
eiopstt,2,tiptoes|potties
alo,3,ola|lao|aol
aeenrst,3,earnest|eastern|nearest
eery,2,eyre|eery
dfnou,2,fondu|found
agsw,2,wags|swag
eghnoruv,2,overhung|hungover
deiilos,2,doilies|idolise
elnors,2,enrols|loners
adeeilnt,2,dateline|entailed
eginst,3,ingest|signet|tinges
cehst,2,techs|chest
adegr,3,edgar|grade|raged
deemot,2,demote|emoted
agikmns,2,makings|masking
elru,2,rule|lure
rstu,2,ruts|rust
aiinnortu,2,ruination|urination
aceimpst,2,campsite|campiest
delostu,2,tousled|loudest
deginnt,2,tending|denting
acehhstt,2,thatches|hatchets
aglos,3,lagos|gaols|goals
abost,2,boast|boats
eilms,5,limes|selim|smile|miles|slime
imnos,2,simon|minos
flow,3,flow|fowl|wolf
demnotu,2,demount|mounted
aehks,2,shake|hakes
afillpsu,2,pailfuls|pailsful
belo,2,bole|lobe
aelnpty,2,penalty|aplenty
aceertx,2,excreta|exacter
abdeinrs,2,brandeis|brandies
gilnos,4,logins|lingos|losing|soling
abest,6,betas|beats|baste|bates|abets|beast
aeeinnoprstt,2,penetrations|presentation
defgiiny,2,deifying|edifying
ceehilln,2,hellenic|chenille
adefint,2,defiant|fainted
aeeirrt,2,tearier|eritrea
eilnv,2,elvin|liven
aelnrtu,3,renault|neutral|laurent
ceeeinprt,2,epicentre|epicenter
ehlstu,2,sleuth|hustle
